26-mar-2019,,,,,,,,,,,
iShares U.S. Consumer Services ETF,,,,,,,,,,,
Inception Date,12 jun 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 852.798.179,24",,,,,,,,,,
Number of Securities,"168,00",,,,,,,,,,
Share,"4.200.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
OLLI,OLLIES BARGAIN OUTLET HOLDINGS INC,Equity,0.13,81.56,"13,170.00","1,074,145.20","1,074,145.20",Consumo discrecional,BZ22B38,US6811161099,NASDAQ
TXRH,TEXAS ROADHOUSE INC,Equity,0.12,61.36,"17,092.00","1,048,765.12","1,048,765.12",Consumo discrecional,B033TJ7,US8826811098,NASDAQ
CBRL,CRACKER BARREL OLD COUNTRY STORE I,Equity,0.12,160.23,"6,184.00","990,862.32","990,862.32",Consumo discrecional,2231091,US22410J1060,NASDAQ
STAY,EXTENDED STAY AMERICA UNITS INC,Equity,0.12,18.11,"54,156.00","980,765.16","980,765.16",Consumo discrecional,BGH3F75,US30224P2002,NASDAQ
LSXMA,LIBERTY MEDIA LIBERTY SIRIUSXM COR,Equity,0.11,38.21,"25,491.00","974,011.11","974,011.11",Comunicación,BD8QGF7,US5312294094,NASDAQ
WYND,WYNDHAM DESTINATIONS INC,Equity,0.11,39.96,"24,263.00","969,549.48","969,549.48",Consumo discrecional,B198391,US98310W1080,New York Stock Exchange Inc.
TRCO,TRIBUNE MEDIA COMPANY CLASS A,Equity,0.11,46.10,"20,463.00","943,344.30","943,344.30",Comunicación,B9GRTP5,US8960475031,New York Stock Exchange Inc.
RAMP,LIVERAMP HOLDINGS INC,Equity,0.11,55.58,"16,801.00","933,799.58","933,799.58",Tecnología de la Información,BGLN838,US53815P1084,New York Stock Exchange Inc.
AEO,AMERICAN EAGLE OUTFITTERS INC,Equity,0.11,21.41,"43,271.00","926,432.11","926,432.11",Consumo discrecional,2048592,US02553E1064,New York Stock Exchange Inc.
SIX,SIX FLAGS ENTERTAINMENT CORP,Equity,0.10,48.42,"18,409.00","891,363.78","891,363.78",Consumo discrecional,B43VKB8,US83001A1025,New York Stock Exchange Inc.
AAN,AARONS INC,Equity,0.10,50.91,"17,342.00","882,881.22","882,881.22",Consumo discrecional,2002918,US0025353006,New York Stock Exchange Inc.
HGV,HILTON GRAND VACATIONS INC,Equity,0.10,30.69,"28,382.00","871,043.58","871,043.58",Consumo discrecional,BYSLHX4,US43283X1054,New York Stock Exchange Inc.
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Equity,0.10,93.25,"8,969.00","836,359.25","836,359.25",Consumo discrecional,B45K9N8,US57164Y1073,New York Stock Exchange Inc.
WEN,WENDYS,Equity,0.09,16.98,"47,530.00","807,059.40","807,059.40",Consumo discrecional,B3NXMJ9,US95058W1009,NASDAQ
CHDN,CHURCHILL DOWNS INC,Equity,0.09,86.80,"9,280.00","805,504.00","805,504.00",Consumo discrecional,2194105,US1714841087,NASDAQ
TGNA,TEGNA INC,Equity,0.09,14.11,"56,187.00","792,798.57","792,798.57",Comunicación,BZ0P3Z5,US87901J1051,New York Stock Exchange Inc.
ATGE,ADTALEM GLOBAL EDUCATION INC,Equity,0.09,45.67,"17,222.00","786,528.74","786,528.74",Consumo discrecional,BZ12TX5,US00737L1035,New York Stock Exchange Inc.
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Equity,0.09,673.39,"1,141.00","768,337.99","768,337.99",Consumo discrecional,BGM1B98,US3846371041,New York Stock Exchange Inc.
SFM,SPROUTS FARMERS MARKET INC,Equity,0.09,22.56,"32,704.00","737,802.24","737,802.24",Productos básicos de consumo,BCGCR79,US85208M1027,NASDAQ
H,HYATT HOTELS CORP CLASS A,Equity,0.09,71.85,"10,236.00","735,456.60","735,456.60",Consumo discrecional,B5B82X4,US4485791028,New York Stock Exchange Inc.
SAVE,SPIRIT AIRLINES INC,Equity,0.09,52.45,"13,871.00","727,533.95","727,533.95",Industriales,B3ZG8F4,US8485771021,New York Stock Exchange Inc.
SBGI,SINCLAIR BROADCAST GROUP INC CLASS,Equity,0.09,38.27,"18,969.00","725,943.63","725,943.63",Comunicación,2799351,US8292261091,NASDAQ
UHAL,AMERCO,Equity,0.09,361.07,"2,009.00","725,389.63","725,389.63",Industriales,2028174,US0235861004,NASDAQ
YELP,YELP INC,Equity,0.08,34.88,"20,070.00","700,041.60","700,041.60",Comunicación,B7KCD72,US9858171054,New York Stock Exchange Inc.
DKS,DICKS SPORTING INC,Equity,0.08,35.69,"19,534.00","697,168.46","697,168.46",Consumo discrecional,2969637,US2533931026,New York Stock Exchange Inc.
CHH,CHOICE HOTELS INTERNATIONAL INC,Equity,0.08,77.00,"9,030.00","695,310.00","695,310.00",Consumo discrecional,2106780,US1699051066,New York Stock Exchange Inc.
ATUS,ALTICE USA INC CLASS A,Equity,0.08,21.20,"32,145.00","681,474.00","681,474.00",Comunicación,BDRY7P9,US02156K1034,New York Stock Exchange Inc.
AMCX,AMC NETWORKS CLASS A INC,Equity,0.08,57.00,"11,880.00","677,160.00","677,160.00",Comunicación,B4MG4Z6,US00164V1035,NASDAQ
MUSA,MURPHY USA INC,Equity,0.08,82.84,"8,015.00","663,962.60","663,962.60",Consumo discrecional,BCZWJ63,US6267551025,New York Stock Exchange Inc.
LBRDA,LIBERTY BROADBAND CORP SERIES A,Equity,0.08,92.53,"7,036.00","651,041.08","651,041.08",Comunicación,BRTLBY3,US5303071071,NASDAQ
LEXEA,LIBERTY EXPEDIA HOLDINGS INC SERIE,Equity,0.08,43.82,"14,622.00","640,736.04","640,736.04",Consumo discrecional,BD8R2H4,US53046P1093,NASDAQ
BBBY,BED BATH AND BEYOND INC,Equity,0.07,16.92,"37,240.00","630,100.80","630,100.80",Consumo discrecional,2085878,US0758961009,NASDAQ
LILAK,LIBERTY LATIN AMERICA LTD CLASS C,Equity,0.07,19.30,"32,192.00","621,305.60","621,305.60",Comunicación,BD9Q3Q6,BMG9001E1286,NASDAQ
MDP,MEREDITH CORP,Equity,0.07,56.48,"10,736.00","606,369.28","606,369.28",Comunicación,2578516,US5894331017,New York Stock Exchange Inc.
BYD,BOYD GAMING CORP,Equity,0.07,27.93,"21,492.00","600,271.56","600,271.56",Consumo discrecional,2117232,US1033041013,New York Stock Exchange Inc.
SBH,SALLY BEAUTY HOLDINGS INC,Equity,0.07,18.08,"32,651.00","590,330.08","590,330.08",Consumo discrecional,B1GZ005,US79546E1047,New York Stock Exchange Inc.
URBN,URBAN OUTFITTERS INC,Equity,0.07,28.03,"20,322.00","569,625.66","569,625.66",Consumo discrecional,2933438,US9170471026,NASDAQ
JACK,JACK IN THE BOX INC,Equity,0.07,78.83,"7,035.00","554,569.05","554,569.05",Consumo discrecional,2344922,US4663671091,NASDAQ
FND,FLOOR DECOR HOLDINGS INC CLASS A,Equity,0.06,40.20,"13,653.00","548,850.60","548,850.60",Consumo discrecional,BYQHP96,US3397501012,New York Stock Exchange Inc.
FTDR,FRONTDOOR INC,Equity,0.06,32.40,"16,883.00","547,009.20","547,009.20",Consumo discrecional,BFYF094,US35905A1097,NASDAQ
JWA,JOHN WILEY AND SONS INC CLASS A,Equity,0.06,44.32,"12,328.00","546,376.96","546,376.96",Comunicación,2965668,US9682232064,New York Stock Exchange Inc.
CAKE,CHEESECAKE FACTORY INC,Equity,0.06,47.34,"11,468.00","542,895.12","542,895.12",Consumo discrecional,2192392,US1630721017,NASDAQ
AN,AUTONATION INC,Equity,0.06,34.33,"15,774.00","541,521.42","541,521.42",Consumo discrecional,2732635,US05329W1027,New York Stock Exchange Inc.
LAD,LITHIA MOTORS INC CLASS A,Equity,0.06,88.15,"6,119.00","539,389.85","539,389.85",Consumo discrecional,2515030,US5367971034,New York Stock Exchange Inc.
NWS,NEWS CORP CLASS B,Equity,0.06,12.50,"42,731.00","534,137.50","534,137.50",Comunicación,BBGVT51,US65249B2088,NASDAQ
BECN,BEACON ROOFING SUPPLY INC,Equity,0.06,32.49,"16,170.00","525,363.30","525,363.30",Industriales,B02TS99,US0736851090,NASDAQ
EYE,NATIONAL VISION HOLDINGS INC,Equity,0.06,30.05,"17,266.00","518,843.30","518,843.30",Consumo discrecional,BYP71H7,US63845R1077,NASDAQ
BLMN,BLOOMIN BRANDS INC,Equity,0.06,20.11,"25,190.00","506,570.90","506,570.90",Consumo discrecional,B847RJ0,US0942351083,NASDAQ
