14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI Emerging Markets ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 59,071,783,669.14",,,,,,,,,,,,,,
Number of Securities,"2,232.00",,,,,,,,,,,,,,
Share,"1,143,600,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
ASII,ASTRA INTERNATIONAL,Equity,0.17,0.51,"198,984,100.00","101,465,572.83","101,465,572.83",Consumo discrecional,B800MQ5,ID1000122807,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
2308,DELTA ELECTRONICS INC,Equity,0.17,4.85,"20,719,000.00","100,571,160.44","100,571,160.44",Tecnología de la Información,6260734,TW0002308004,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
OTP,OTP BANK,Equity,0.17,44.38,"2,249,501.00","99,831,320.25","99,831,320.25",Financieros,7320154,HU0000061726,Budapest Stock Exchange,Hungría,USD,HUF,278.06
788,CHINA TOWER CORP LTD H,Equity,0.16,0.24,"409,224,000.00","96,441,939.12","96,441,939.12",Comunicación,BFZ2PK0,CNE100003688,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
TENAGA,TENAGA NASIONAL,Equity,0.16,3.09,"31,151,900.00","96,215,031.40","96,215,031.40",Servicios,6904612,MYL5347OO009,Bursa Malaysia,Malasia,USD,MYR,4.09
LT,LARSEN AND TOUBRO LTD,Equity,0.16,19.87,"4,834,054.00","96,061,441.06","96,061,441.06",Industriales,B0166K8,INE018A01030,National Stock Exchange Of India,India,USD,INR,69.43
2002,CHINA STEEL CORP,Equity,0.16,0.80,"119,350,529.00","95,590,110.44","95,590,110.44",Materiales,6190950,TW0002002003,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
2601,CHINA PACIFIC INSURANCE (GROUP) LT,Equity,0.16,3.75,"25,409,200.00","95,163,724.61","95,163,724.61",Financieros,B2Q5H56,CNE1000009Q7,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
086790,HANA FINANCIAL GROUP INC,Equity,0.16,33.49,"2,836,564.00","94,993,771.04","94,993,771.04",Financieros,B0RNRF5,KR7086790003,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
2881,FUBON FINANCIAL HOLDING LTD,Equity,0.16,1.46,"64,671,000.00","94,698,166.79","94,698,166.79",Financieros,6411673,TW0002881000,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
