14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 58,729,535,154.33",,,,,,,,,,,,,,
Number of Securities,"2,476.00",,,,,,,,,,,,,,
Share,"964,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
7751,CANON INC,Equity,0.17,28.49,"3,575,400.00","101,866,256.71","101,866,256.71",Tecnología de la Información,6172323,JP3242800005,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9983,FAST RETAILING LTD,Equity,0.17,480.76,"211,800.00","101,824,006.44","101,824,006.44",Consumo discrecional,6332439,JP3802300008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
EUR,EUR CASH,Cash,0.17,113.05,"89,408,288.00","101,071,599.35","101,071,599.35",Liquidez,--,--,--,Unión Europea,USD,EUR,0.88
WOW,WOOLWORTHS GROUP LTD,Equity,0.17,21.34,"4,715,168.00","100,640,034.20","100,640,034.20",Productos básicos de consumo,6981239,AU000000WOW2,Asx - All Markets,Australia,USD,AUD,1.42
1,CK HUTCHISON HOLDINGS LTD,Equity,0.17,10.23,"9,795,516.00","100,201,903.81","100,201,903.81",Industriales,BW9P816,KYG217651051,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
AAL,ANGLO AMERICAN PLC,Equity,0.17,25.81,"3,868,002.00","99,839,032.64","99,839,032.64",Materiales,B1XZS82,GB00B1XZS820,London Stock Exchange,Reino Unido,USD,GBP,0.75
BMW,BMW AG,Equity,0.17,83.40,"1,194,318.00","99,611,616.26","99,611,616.26",Consumo discrecional,5756029,DE0005190003,Xetra,Alemania,USD,EUR,0.88
WES,WESFARMERS LTD,Equity,0.17,24.30,"4,077,157.00","99,055,265.24","99,055,265.24",Consumo discrecional,6948836,AU000000WES1,Asx - All Markets,Australia,USD,AUD,1.42
2914,JAPAN TOBACCO INC,Equity,0.17,25.04,"3,945,700.00","98,783,771.03","98,783,771.03",Productos básicos de consumo,6474535,JP3726800000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6367,DAIKIN INDUSTRIES LTD,Equity,0.17,110.28,"895,000.00","98,696,741.85","98,696,741.85",Industriales,6250724,JP3481800005,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9432,NIPPON TELEGRAPH AND TELEPHONE COR,Equity,0.17,42.67,"2,311,900.00","98,646,860.90","98,646,860.90",Comunicación,6641373,JP3735400008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
