14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Value ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 38,173,656,092.63",,,,,,,,,,
Number of Securities,722.00,,,,,,,,,,
Share,"306,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
ROP,ROPER TECHNOLOGIES INC,Equity,0.20,325.46,"237,634.00","77,340,361.64","77,340,361.64",Industriales,2749602,US7766961061,New York Stock Exchange Inc.
GIS,GENERAL MILLS INC,Equity,0.20,47.46,"1,621,918.00","76,976,228.28","76,976,228.28",Productos básicos de consumo,2367026,US3703341046,New York Stock Exchange Inc.
WP,WORLDPAY INC CLASS A,Equity,0.20,97.49,"787,907.00","76,813,053.43","76,813,053.43",Tecnología de la Información,BF8D8T0,US9815581098,New York Stock Exchange Inc.
ED,CONSOLIDATED EDISON INC,Equity,0.20,84.98,"897,548.00","76,273,629.04","76,273,629.04",Servicios,2216850,US2091151041,New York Stock Exchange Inc.
EBAY,EBAY INC,Equity,0.20,36.35,"2,045,175.00","74,342,111.25","74,342,111.25",Consumo discrecional,2293819,US2786421030,NASDAQ
A,AGILENT TECHNOLOGIES INC,Equity,0.20,80.61,"921,394.00","74,273,570.34","74,273,570.34",Cuidado de la Salud,2520153,US00846U1016,New York Stock Exchange Inc.
FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Equity,0.19,51.32,"1,423,674.00","73,062,949.68","73,062,949.68",Comunicación,BBM4S80,US90130A2006,NASDAQ
AXP,AMERICAN EXPRESS,Equity,0.19,112.35,"650,126.00","73,041,656.10","73,041,656.10",Financieros,2026082,US0258161092,New York Stock Exchange Inc.
ZBH,ZIMMER BIOMET HOLDINGS INC,Equity,0.19,122.94,"586,838.00","72,145,863.72","72,145,863.72",Cuidado de la Salud,2783815,US98956P1021,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.19,92.49,"779,627.00","72,107,701.23","72,107,701.23",Financieros,2567741,US5717481023,New York Stock Exchange Inc.
PPG,PPG INDUSTRIES INC,Equity,0.19,109.68,"653,822.00","71,711,196.96","71,711,196.96",Materiales,2698470,US6935061076,New York Stock Exchange Inc.
STT,STATE STREET CORP,Equity,0.19,70.29,"1,016,821.00","71,472,348.09","71,472,348.09",Financieros,2842040,US8574771031,New York Stock Exchange Inc.
USD,USD CASH,Cash,0.19,100.00,"70,913,237.00","70,913,237.13","70,913,237.13",Liquidez,--,--,--
WEC,WEC ENERGY GROUP INC,Equity,0.19,77.62,"909,605.00","70,603,540.10","70,603,540.10",Servicios,BYY8XK8,US92939U1060,New York Stock Exchange Inc.
