26-Mar-2019,,,,,,,,,,,,,,,
iShares Expanded Tech Sector ETF,,,,,,,,,,,,,,,
Inception Date,"Mar 13, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,,,,,
Total Net Assets,"$1,581,615,971.58",,,,,,,,,,,,,,
Number of Securities (excluding cash and derivatives),292.00,,,,,,,,,,,,,,
Share,"7,700,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
TYL,TYLER TECHNOLOGIES INC,Equity,0.10,199.25,"7,874.00","1,568,894.50","1,568,894.50",Information Technology,2909644,US9022521051,New York Stock Exchange Inc.,United States,USD,USD,1.00
BKI,BLACK KNIGHT INC,Equity,0.10,53.55,"29,184.00","1,562,803.20","1,562,803.20",Information Technology,BDG75V1,US09215C1053,New York Stock Exchange Inc.,United States,USD,USD,1.00
RNG,RINGCENTRAL INC CLASS A,Equity,0.10,108.19,"14,100.00","1,525,479.00","1,525,479.00",Information Technology,BDZCRX3,US76680R2067,New York Stock Exchange Inc.,United States,USD,USD,1.00
AZPN,ASPEN TECHNOLOGY INC,Equity,0.09,103.80,"14,320.00","1,486,416.00","1,486,416.00",Information Technology,2051868,US0453271035,NASDAQ,United States,USD,USD,1.00
EEFT,EURONET WORLDWIDE INC,Equity,0.09,139.38,"10,601.00","1,477,567.38","1,477,567.38",Information Technology,2320148,US2987361092,NASDAQ,United States,USD,USD,1.00
CDK,CDK GLOBAL INC,Equity,0.09,57.13,"25,641.00","1,464,870.33","1,464,870.33",Information Technology,BQXTWQ5,US12508E1010,NASDAQ,United States,USD,USD,1.00
TER,TERADYNE INC,Equity,0.09,39.80,"35,699.00","1,420,820.20","1,420,820.20",Information Technology,2884183,US8807701029,NASDAQ,United States,USD,USD,1.00
QRTEA,QURATE RETAIL INC SERIES A,Equity,0.09,16.44,"86,386.00","1,420,185.84","1,420,185.84",Consumer Discretionary,BZ19HB0,US74915M1009,NASDAQ,United States,USD,USD,1.00
TTD,TRADE DESK INC CLASS A,Equity,0.09,186.94,"7,454.00","1,393,450.76","1,393,450.76",Information Technology,BD8FDD1,US88339J1051,NASDAQ,United States,USD,USD,1.00
PFPT,PROOFPOINT INC,Equity,0.09,120.83,"11,381.00","1,375,166.23","1,375,166.23",Information Technology,B6VDQC3,US7434241037,NASDAQ,United States,USD,USD,1.00
